iter	Passed	Remaining
153	157678	866207
154	158859	866040
155	160213	866795
156	161302	866104
157	162282	864823
158	163262	863544
159	164280	862472
160	165275	861281
161	166274	860112
162	167259	858871
163	168230	857566
164	169234	856428
165	170258	855396
166	171252	854209
167	172230	852951
168	173238	851839
169	174204	850526
170	175183	849282
171	176159	848024
172	177141	846798
173	178112	845520
174	179116	844407
175	180115	843267
176	181093	842035
177	182089	840885
178	183083	839727
179	184055	838473
180	185028	837226
181	186021	836075
182	187047	835071
183	188069	834047
184	189055	832867
185	190069	831810
186	191116	830895
187	192380	830921
188	193578	830647
189	194589	829564
190	195582	828409
191	196573	827248
192	197549	826021
193	198549	824900
194	199573	823880
195	200560	822705
196	201522	821433
197	202509	820264
198	203504	819132
199	204467	817868
200	205458	816722
201	206458	815612
202	207436	814419
203	208421	813251
204	209415	812124
205	210440	811114
206	211417	809923
207	212387	808704
208	213368	807533
209	214322	806260
210	215306	805105
211	216295	803966
212	217300	802888
213	218341	801947
214	219346	800871
215	220367	799852
216	221372	798776
217	222329	797530
218	223319	796403
219	224529	796060
220	225829	796025
221	226838	794955
222	227822	793802
223	228811	792669
224	229833	791648
225	230811	790478
226	231783	789289
227	232772	788160
228	233769	787057
229	234748	785897
230	235734	784761
231	236718	783619
232	237691	782442
233	238701	781391
234	239767	780519
235	240762	779416
236	241737	778252
237	242741	777180
238	243747	776115
239	244738	775004
240	245751	773962
241	246816	773085
242	247835	772064
243	248849	771025
244	249894	770083
245	250880	768958
246	251858	767812
247	252859	766734
248	253865	765673
249	254883	764649
250	255926	763701
251	257159	763313
252	258493	763218
253	259582	762395
254	260568	761269
255	261562	760165
256	262558	759069
257	263594	758089
258	264601	757025
259	265622	756002
260	266641	754972
261	267676	753989
262	268722	753035
263	269766	752076
264	270767	750995
265	271750	749867
266	272762	748820
267	273772	747767
268	274769	746679
269	275775	745615
270	276783	744557
271	277798	743520
272	278828	742522
273	279863	741535
274	280866	740465
275	281830	739293
276	282827	738211
277	283831	737144
278	284807	736008
279	285845	735030
280	286866	734011
281	287894	733007
282	288915	731988
283	290297	731875
284	291613	731592
285	292621	730530
286	293672	729575
287	294669	728489
288	295694	727470
289	296706	726419
290	297683	725283
291	298702	724252
292	299734	723249
293	300730	722161
294	301710	721036
295	302708	719956
296	303729	718927
297	304708	717803
298	305728	716775
299	306738	715722
300	307755	714688
301	308751	713603
302	309777	712591
303	310763	711483
304	311771	710430
305	312781	709380
306	313792	708333
307	314786	707248
308	315812	706235
309	316844	705233
310	317857	704192
311	318868	703144
312	319914	702176
313	320895	701064
314	321955	700126
315	323259	699713
316	324487	699133
317	325476	698033
318	326450	696904
319	327450	695832
320	328452	694763
321	329484	693759
322	330486	692691
323	331472	691591
324	332461	690496
325	333454	689412
326	334462	688358
327	335457	687278
328	336481	686258
329	337503	685234
330	338543	684247
331	339581	683255
332	340591	682205
333	341589	681132
334	342590	680068
335	343579	678977
336	344578	677908
337	345565	676817
338	346547	675717
339	347545	674647
340	348559	673608
341	349640	672700
342	350647	671647
343	351614	670521
344	352623	669472
345	353638	668437
346	354713	667516
347	356039	667062
348	357286	666456
349	358310	665433
350	359326	664395
351	360350	663372
352	361330	662268
353	362330	661202
354	363341	660155
355	364343	659092
356	365356	658051
357	366352	656977
358	367409	656015
359	368435	654996
360	369477	654005
361	370476	652938
362	371444	651817
363	372444	650754
364	373445	649693
365	374464	648662
366	375499	647660
367	376526	646643
368	377536	645597
369	378559	644574
370	379585	643555
371	380595	642510
372	381573	641410
373	382576	640354
374	383590	639317
375	384590	638256
376	385599	637210
377	386604	636158
378	387731	635306
379	389024	634724
380	390236	634006
381	391230	632932
382	392237	631880
383	393228	630803
384	394235	629752
385	395213	628656
386	396292	627719
387	397299	626668
388	398319	625638
389	399323	624583
390	400336	623541
391	401319	622454
392	402336	621419
393	403337	620361
394	404329	619290
395	405324	618222
396	406327	617166
